fips,area_name,state_abbreviation,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210
41000,Oregon,,3970239,3831073,3.6,3831074,5.8,21.6,16,50.5,87.9,2,1.8,4.3,0.4,3.6,12.5,77,82,9.8,14.8,89.4,29.7,323205,22.5,1700549,62,23.2,238000,1516456,2.49,26809,50229,16.2,108527,1396563,2.4,260438,348154,1.2,1.2,3.6,0.2,3.3,29.8,66880653,51910777,50370919,13494,7555764,16645,95988.01,39.9
42000,Pennsylvania,,12787209,12702884,0.7,12702379,5.6,21.1,16.7,51.1,82.9,11.6,0.3,3.3,0.1,1.8,6.6,77.9,88,6,10.3,88.7,27.5,943417,25.9,5590373,69.8,20.5,164700,4958427,2.48,28502,52548,13.3,297692,5180805,0.2,778528,981501,4.6,0.3,3.2,0,2.3,27,234840418,142859202,166842778,13323,19625449,25059,44742.7,283.9
44000,Rhode Island,,1055173,1052931,0.2,1052567,5.2,20.2,15.7,51.5,85.1,7.7,0.9,3.5,0.2,2.6,14,74.5,86.5,13.1,21.1,85.2,31.3,70621,23.6,462625,61.2,40.3,247400,410058,2.46,30469,56361,13.6,28026,408489,1.4,73758,96822,3.3,0.4,2.1,0,6,27.3,12061517,9182788,12286485,11646,2148674,952,1033.81,1018.1
45000,South Carolina,,4832482,4625401,4.5,4625364,6,22.4,15.8,51.4,68.3,27.8,0.5,1.5,0.1,1.7,5.4,63.9,84.7,4.8,6.8,84.5,25.1,391660,23.5,2188129,69.1,17.9,137400,1780251,2.55,23943,44779,18.1,101545,1583213,2.2,308746,360397,12.1,0.5,1.8,0.1,1.7,27.6,93977455,40498047,54298410,12273,8383463,27537,30060.7,153.9
46000,South Dakota,,853175,814191,4.8,814180,7.1,24.7,15.3,49.7,85.7,1.9,8.9,1.3,0.1,2.2,3.6,83,83.6,2.8,6.8,90.4,26.2,67886,16.9,376319,68,18.8,132400,323136,2.45,25740,49495,14.1,26021,340485,1.2,62414,76997,0.3,2.2,0.6,0,0.8,22.2,13051128,11400476,12266218,15390,1622751,4722,75811,10.7
47000,Tennessee,,6549352,6346275,3.2,6346105,6.1,22.8,15.1,51.3,78.9,17.1,0.4,1.7,0.1,1.7,5,74.6,84.6,4.6,6.6,84.4,23.8,484901,24.3,2869323,67.8,18.3,139200,2475195,2.52,24409,44298,17.6,130819,2394068,2.1,470330,545348,8.4,0.5,2,0.1,1.6,25.9,140447760,80116528,77547291,12563,10626759,27632,41234.9,153.9
48000,Texas,,26956958,25146104,7.2,25145561,7.3,26.4,11.5,50.4,80,12.5,1,4.5,0.1,1.8,38.6,43.5,82.8,16.3,34.7,81.2,26.7,1583272,25,10426080,63.3,24.2,128900,8886471,2.82,26019,51900,17.6,547190,9663567,3.3,2039732,2164852,7.1,0.9,5.3,0.1,20.7,28.2,593541502,424238194,311334781,13061,42054592,166982,261231.71,96.3
49000,Utah,,2942902,2763885,6.5,2763885,8.6,30.7,10,49.7,91.4,1.3,1.5,2.4,1,2.4,13.5,79.3,82.8,8.2,14.3,90.9,30.3,143771,21.4,1022537,70.1,21.4,212800,886770,3.12,23873,58821,12.7,71887,1101557,2.9,201838,246393,0.5,0.6,1.9,0.3,3.7,24.9,42431657,25417368,36574240,13730,3980570,17510,82169.62,33.6
50000,Vermont,,626562,625745,0.1,625741,4.9,19.4,16.9,50.7,95,1.2,0.4,1.6,0,1.8,1.8,93.5,86.6,4.1,5.2,91.4,34.8,48456,22.2,325789,71,23,216800,257004,2.34,29167,54267,11.8,21119,262474,-1.1,59446,78729,0,0.5,0.8,0,0.6,26,10751461,5121694,9310119,15005,1367630,1546,9216.66,67.9
51000,Virginia,,8326289,8001023,4.1,8001024,6.2,22.4,13.8,50.8,70.5,19.7,0.5,6.3,0.1,2.8,8.9,63.1,84.7,11.3,14.9,87.5,35.2,726470,27.7,3446471,67.3,21.7,244600,3022739,2.6,33493,63907,11.3,193907,3131723,1.4,536067,638643,9.9,0.5,7,0.1,4.5,30.1,92417797,60513396,105663299,13687,15340483,28682,39490.09,202.6
53000,Washington,,7061530,6724543,5,6724540,6.3,22.7,14.1,50,80.7,4.1,1.9,8.2,0.7,4.5,12.2,70.4,82.7,13.2,18.5,90,31.9,582265,25.7,2963141,63.2,25.6,262100,2629126,2.54,30742,59478,13.4,176815,2444098,3.5,413446,551340,0,1.2,6.8,0.2,3.2,28.7,112053283,76790966,92968519,14380,12389422,33898,66455.52,101.2
54000,West Virginia,,1850326,1853033,-0.1,1852994,5.5,20.5,17.8,50.6,93.7,3.6,0.2,0.8,0,1.6,1.5,92.5,88.1,1.4,2.4,83.9,18.3,159448,25.5,884605,73.4,12,98500,741390,2.43,22966,41043,17.9,37573,575987,-0.6,88202,120381,0,0,1.3,0,0.7,28.1,25080573,11036467,20538829,11340,2553258,2677,24038.21,77.1
55000,Wisconsin,,5757564,5687289,1.2,5686986,5.9,22.6,15.2,50.3,87.8,6.6,1.1,2.6,0,1.8,6.5,82.2,85.8,4.7,8.6,90.4,26.8,408870,21.7,2648317,68.1,25.4,167100,2288332,2.43,27523,52413,13,137983,2401032,0.5,335177,433797,2.6,0.6,1.6,0,1.3,25.9,163563195,59996244,72283321,12904,9247311,14622,54157.8,105
56000,Wyoming,,584153,563767,3.6,563626,6.5,23.7,14,49,92.7,1.6,2.7,1,0.1,2,9.8,84.1,81.8,3.3,6.8,92.4,24.7,50852,18.3,268222,70.1,16,185900,222846,2.5,28902,57406,11.5,20629,212635,-0.7,46297,61179,0.2,0.8,0.7,0,2.8,25.5,8834810,6352890,8957553,17114,1469008,1901,97093.14,5.8
