state,state_abbreviation,county,fips,party,candidate,MAX(votes),fraction_votes,county_state
Florida,FL,Orange,12095,Democrat,Hillary_Clinton,66654,0.638,Orange_FL
Florida,FL,Osceola,12097,Democrat,Hillary_Clinton,16512,0.682,Osceola_FL
Florida,FL,Palm Beach,12099,Democrat,Hillary_Clinton,103369,0.715,Palm Beach_FL
Florida,FL,Pasco,12101,Democrat,Hillary_Clinton,21760,0.583,Pasco_FL
Florida,FL,Pinellas,12103,Democrat,Hillary_Clinton,63699,0.603,Pinellas_FL
Florida,FL,Polk,12105,Democrat,Hillary_Clinton,29328,0.63,Polk_FL
Florida,FL,Putnam,12107,Democrat,Hillary_Clinton,3182,0.494,Putnam_FL
Florida,FL,Santa Rosa,12113,Democrat,Hillary_Clinton,3938,0.492,Santa Rosa_FL
Florida,FL,Sarasota,12115,Democrat,Hillary_Clinton,25881,0.611,Sarasota_FL
Florida,FL,Seminole,12117,Democrat,Hillary_Clinton,22069,0.583,Seminole_FL
Florida,FL,Suwannee,12121,Democrat,Bernie_Sanders,1550,0.443,Suwannee_FL
Florida,FL,Volusia,12127,Democrat,Hillary_Clinton,26276,0.602,Volusia_FL
Florida,FL,Wakulla,12129,Democrat,Hillary_Clinton,1659,0.489,Wakulla_FL
Georgia,GA,Appling,13001,Democrat,Hillary_Clinton,490,0.756,Appling_GA
Georgia,GA,Atkinson,13003,Democrat,Hillary_Clinton,201,0.798,Atkinson_GA
Georgia,GA,Bacon,13005,Democrat,Hillary_Clinton,113,0.638,Bacon_GA
Georgia,GA,Banks,13011,Democrat,Hillary_Clinton,172,0.49,Banks_GA
Georgia,GA,Barrow,13013,Democrat,Hillary_Clinton,1457,0.617,Barrow_GA
Georgia,GA,Bartow,13015,Democrat,Hillary_Clinton,2216,0.59,Bartow_GA
Georgia,GA,Ben Hill,13017,Democrat,Hillary_Clinton,779,0.802,Ben Hill_GA
Georgia,GA,Bibb,13021,Democrat,Hillary_Clinton,12944,0.828,Bibb_GA
Georgia,GA,Bleckley,13023,Democrat,Hillary_Clinton,370,0.777,Bleckley_GA
Georgia,GA,Brantley,13025,Democrat,Hillary_Clinton,137,0.491,Brantley_GA
Georgia,GA,Bulloch,13031,Democrat,Hillary_Clinton,1910,0.607,Bulloch_GA
Georgia,GA,Butts,13035,Democrat,Hillary_Clinton,922,0.817,Butts_GA
Georgia,GA,Candler,13043,Democrat,Hillary_Clinton,434,0.783,Candler_GA
Georgia,GA,Catoosa,13047,Democrat,Hillary_Clinton,1082,0.508,Catoosa_GA
Georgia,GA,Charlton,13049,Democrat,Hillary_Clinton,275,0.737,Charlton_GA
Georgia,GA,Chatham,13051,Democrat,Hillary_Clinton,19898,0.723,Chatham_GA
Georgia,GA,Chattahoochee,13053,Democrat,Hillary_Clinton,182,0.813,Chattahoochee_GA
Georgia,GA,Chattooga,13055,Democrat,Hillary_Clinton,566,0.637,Chattooga_GA
Georgia,GA,Cherokee,13057,Democrat,Hillary_Clinton,4837,0.518,Cherokee_GA
Georgia,GA,Clarke,13059,Democrat,Hillary_Clinton,7089,0.507,Clarke_GA
Georgia,GA,Clayton,13063,Democrat,Hillary_Clinton,25130,0.816,Clayton_GA
Georgia,GA,Clinch,13065,Democrat,Hillary_Clinton,167,0.795,Clinch_GA
Georgia,GA,Cobb,13067,Democrat,Hillary_Clinton,39277,0.635,Cobb_GA
Georgia,GA,Colquitt,13071,Democrat,Hillary_Clinton,1035,0.761,Colquitt_GA
Georgia,GA,Columbia,13073,Democrat,Hillary_Clinton,4805,0.669,Columbia_GA
Georgia,GA,Cook,13075,Democrat,Hillary_Clinton,580,0.762,Cook_GA
Georgia,GA,Coweta,13077,Democrat,Hillary_Clinton,4536,0.665,Coweta_GA
Georgia,GA,Crisp,13081,Democrat,Hillary_Clinton,729,0.801,Crisp_GA
Georgia,GA,Dade,13083,Democrat,Hillary_Clinton,241,0.503,Dade_GA
Georgia,GA,Dawson,13085,Democrat,Hillary_Clinton,312,0.53,Dawson_GA
Georgia,GA,Decatur,13087,Democrat,Hillary_Clinton,1316,0.79,Decatur_GA
Georgia,GA,Dodge,13091,Democrat,Hillary_Clinton,579,0.795,Dodge_GA
Georgia,GA,Dooly,13093,Democrat,Hillary_Clinton,737,0.884,Dooly_GA
Georgia,GA,Dougherty,13095,Democrat,Hillary_Clinton,8891,0.857,Dougherty_GA
Georgia,GA,Douglas,13097,Democrat,Hillary_Clinton,9375,0.746,Douglas_GA
Georgia,GA,Early,13099,Democrat,Hillary_Clinton,671,0.892,Early_GA
Georgia,GA,Echols,13101,Democrat,Bernie_Sanders,36,0.514,Echols_GA
Georgia,GA,Elbert,13105,Democrat,Hillary_Clinton,805,0.75,Elbert_GA
Georgia,GA,Emanuel,13107,Democrat,Hillary_Clinton,755,0.831,Emanuel_GA
Georgia,GA,Evans,13109,Democrat,Hillary_Clinton,347,0.785,Evans_GA
Georgia,GA,Fannin,13111,Democrat,Hillary_Clinton,545,0.599,Fannin_GA
Georgia,GA,Fayette,13113,Democrat,Hillary_Clinton,7257,0.711,Fayette_GA
Georgia,GA,Floyd,13115,Democrat,Hillary_Clinton,2555,0.645,Floyd_GA
Georgia,GA,Fulton,13121,Democrat,Hillary_Clinton,82576,0.711,Fulton_GA
Georgia,GA,Gilmer,13123,Democrat,Hillary_Clinton,489,0.53,Gilmer_GA
Georgia,GA,Glascock,13125,Democrat,Hillary_Clinton,38,0.623,Glascock_GA
Georgia,GA,Glynn,13127,Democrat,Hillary_Clinton,2870,0.687,Glynn_GA
Georgia,GA,Gordon,13129,Democrat,Hillary_Clinton,776,0.575,Gordon_GA
Georgia,GA,Gwinnett,13135,Democrat,Hillary_Clinton,37465,0.662,Gwinnett_GA
Georgia,GA,Habersham,13137,Democrat,Hillary_Clinton,608,0.52,Habersham_GA
Georgia,GA,Hall,13139,Democrat,Hillary_Clinton,3482,0.603,Hall_GA
Georgia,GA,Haralson,13143,Democrat,Hillary_Clinton,413,0.551,Haralson_GA
Georgia,GA,Hart,13147,Democrat,Hillary_Clinton,740,0.723,Hart_GA
Georgia,GA,Heard,13149,Democrat,Hillary_Clinton,276,0.701,Heard_GA
Georgia,GA,Henry,13151,Democrat,Hillary_Clinton,15639,0.777,Henry_GA
Georgia,GA,Houston,13153,Democrat,Hillary_Clinton,6274,0.76,Houston_GA
Georgia,GA,Irwin,13155,Democrat,Hillary_Clinton,326,0.799,Irwin_GA
Georgia,GA,Jeff Davis,13161,Democrat,Hillary_Clinton,400,0.766,Jeff Davis_GA
Georgia,GA,Jenkins,13165,Democrat,Hillary_Clinton,355,0.841,Jenkins_GA
Georgia,GA,Lanier,13173,Democrat,Hillary_Clinton,234,0.765,Lanier_GA
Georgia,GA,Liberty,13179,Democrat,Hillary_Clinton,2783,0.797,Liberty_GA
Georgia,GA,Long,13183,Democrat,Hillary_Clinton,261,0.685,Long_GA
Georgia,GA,Lumpkin,13187,Democrat,Hillary_Clinton,560,0.506,Lumpkin_GA
Georgia,GA,McDuffie,13189,Democrat,Hillary_Clinton,1274,0.847,McDuffie_GA
Georgia,GA,Meriwether,13199,Democrat,Hillary_Clinton,1463,0.854,Meriwether_GA
Georgia,GA,Mitchell,13205,Democrat,Hillary_Clinton,1338,0.858,Mitchell_GA
Georgia,GA,Muscogee,13215,Democrat,Hillary_Clinton,12801,0.791,Muscogee_GA
Georgia,GA,Newton,13217,Democrat,Hillary_Clinton,7269,0.78,Newton_GA
Georgia,GA,Oglethorpe,13221,Democrat,Hillary_Clinton,561,0.605,Oglethorpe_GA
Georgia,GA,Paulding,13223,Democrat,Hillary_Clinton,4095,0.656,Paulding_GA
Georgia,GA,Peach,13225,Democrat,Hillary_Clinton,1675,0.837,Peach_GA
Georgia,GA,Pierce,13229,Democrat,Hillary_Clinton,219,0.67,Pierce_GA
Georgia,GA,Rabun,13241,Democrat,Hillary_Clinton,397,0.541,Rabun_GA
Georgia,GA,Richmond,13245,Democrat,Hillary_Clinton,16269,0.817,Richmond_GA
Georgia,GA,Rockdale,13247,Democrat,Hillary_Clinton,7930,0.78,Rockdale_GA
Georgia,GA,Schley,13249,Democrat,Hillary_Clinton,146,0.834,Schley_GA
Georgia,GA,Screven,13251,Democrat,Hillary_Clinton,771,0.811,Screven_GA
Georgia,GA,Spalding,13255,Democrat,Hillary_Clinton,3129,0.786,Spalding_GA
Georgia,GA,Talbot,13263,Democrat,Hillary_Clinton,852,0.867,Talbot_GA
Georgia,GA,Taliaferro,13265,Democrat,Hillary_Clinton,236,0.864,Taliaferro_GA
Georgia,GA,Tattnall,13267,Democrat,Hillary_Clinton,518,0.761,Tattnall_GA
Georgia,GA,Telfair,13271,Democrat,Hillary_Clinton,426,0.811,Telfair_GA
Georgia,GA,Terrell,13273,Democrat,Hillary_Clinton,804,0.881,Terrell_GA
Georgia,GA,Thomas,13275,Democrat,Hillary_Clinton,2053,0.782,Thomas_GA
Georgia,GA,Tift,13277,Democrat,Hillary_Clinton,1151,0.759,Tift_GA
Georgia,GA,Toombs,13279,Democrat,Hillary_Clinton,562,0.762,Toombs_GA
Georgia,GA,Towns,13281,Democrat,Hillary_Clinton,312,0.529,Towns_GA
Georgia,GA,Treutlen,13283,Democrat,Hillary_Clinton,300,0.822,Treutlen_GA
Georgia,GA,Troup,13285,Democrat,Hillary_Clinton,3357,0.789,Troup_GA
Georgia,GA,Turner,13287,Democrat,Hillary_Clinton,330,0.789,Turner_GA
Georgia,GA,Twiggs,13289,Democrat,Hillary_Clinton,818,0.864,Twiggs_GA
Georgia,GA,Upson,13293,Democrat,Hillary_Clinton,1236,0.808,Upson_GA
Georgia,GA,Walton,13297,Democrat,Hillary_Clinton,2309,0.699,Walton_GA
Georgia,GA,Ware,13299,Democrat,Hillary_Clinton,919,0.75,Ware_GA
Georgia,GA,Wheeler,13309,Democrat,Hillary_Clinton,177,0.859,Wheeler_GA
Georgia,GA,Whitfield,13313,Democrat,Hillary_Clinton,1536,0.533,Whitfield_GA
Georgia,GA,Worth,13321,Democrat,Hillary_Clinton,684,0.794,Worth_GA
Idaho,ID,Ada,16001,Democrat,Bernie_Sanders,7336,0.805,Ada_ID
Idaho,ID,Bannock,16005,Democrat,Bernie_Sanders,1197,0.797,Bannock_ID
Idaho,ID,Bear Lake,16007,Democrat,Bernie_Sanders,25,0.676,Bear Lake_ID
Idaho,ID,Benewah,16009,Democrat,Bernie_Sanders,49,0.69,Benewah_ID
Idaho,ID,Bingham,16011,Democrat,Bernie_Sanders,181,0.764,Bingham_ID
Idaho,ID,Blaine,16013,Democrat,Bernie_Sanders,539,0.683,Blaine_ID
Idaho,ID,Boise,16015,Democrat,Bernie_Sanders,76,0.679,Boise_ID
Idaho,ID,Bonner,16017,Democrat,Bernie_Sanders,716,0.793,Bonner_ID
Idaho,ID,Bonneville,16019,Democrat,Bernie_Sanders,822,0.791,Bonneville_ID
Idaho,ID,Boundary,16021,Democrat,Bernie_Sanders,158,0.84,Boundary_ID
Idaho,ID,Butte,16023,Democrat,Bernie_Sanders,20,0.769,Butte_ID
Idaho,ID,Camas,16025,Democrat,Bernie_Sanders,11,0.579,Camas_ID
Idaho,ID,Canyon,16027,Democrat,Bernie_Sanders,1312,0.818,Canyon_ID
Idaho,ID,Caribou,16029,Democrat,Bernie_Sanders,7,0.7,Caribou_ID
Idaho,ID,Cassia,16031,Democrat,Bernie_Sanders,57,0.613,Cassia_ID
Idaho,ID,Clearwater,16035,Democrat,Bernie_Sanders,53,0.582,Clearwater_ID
Idaho,ID,Gem,16045,Democrat,Bernie_Sanders,131,0.704,Gem_ID
Idaho,ID,Gooding,16047,Democrat,Bernie_Sanders,49,0.636,Gooding_ID
Idaho,ID,Jerome,16053,Democrat,Bernie_Sanders,107,0.77,Jerome_ID
Idaho,ID,Kootenai,16055,Democrat,Bernie_Sanders,1561,0.759,Kootenai_ID
Idaho,ID,Latah,16057,Democrat,Bernie_Sanders,1612,0.839,Latah_ID
Idaho,ID,Lemhi,16059,Democrat,Bernie_Sanders,71,0.755,Lemhi_ID
Idaho,ID,Minidoka,16067,Democrat,Bernie_Sanders,51,0.654,Minidoka_ID
Idaho,ID,Nez Perce,16069,Democrat,Bernie_Sanders,383,0.707,Nez Perce_ID
Idaho,ID,Oneida,16071,Democrat,Bernie_Sanders,6,0.545,Oneida_ID
Idaho,ID,Owyhee,16073,Democrat,Bernie_Sanders,40,0.645,Owyhee_ID
Idaho,ID,Payette,16075,Democrat,Bernie_Sanders,91,0.664,Payette_ID
Idaho,ID,Power,16077,Democrat,Bernie_Sanders,45,0.703,Power_ID
Idaho,ID,Shoshone,16079,Democrat,Bernie_Sanders,85,0.654,Shoshone_ID
Idaho,ID,Teton,16081,Democrat,Bernie_Sanders,311,0.778,Teton_ID
Idaho,ID,Twin Falls,16083,Democrat,Bernie_Sanders,522,0.722,Twin Falls_ID
Idaho,ID,Valley,16085,Democrat,Bernie_Sanders,198,0.731,Valley_ID
Illinois,IL,Bond,17005,Democrat,Bernie_Sanders,858,0.534,Bond_IL
